Timestamp,Gender,Age,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
5/9/16 12:29,Female,20,written by program,written by program,written by program,written by program,written by program,written by program,written by program,written by Wright,written by Wright,written by Wright
5/9/16 12:30,Female,21,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by Wright
5/9/16 12:40,Male,21,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 12:40,Female,21,written by Wright,written by Wright,written by Wright,written by program,written by program,written by Wright,written by Wright,written by program,written by program,written by program
5/9/16 12:42,Female,22,written by Wright,written by Wright,written by program,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by Wright
5/9/16 12:48,Female,27,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 12:55,Female,18,written by program,written by Wright,written by program,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 13:32,Female,22,written by program,written by program,written by program,written by program,written by program,written by Wright,written by program,written by program,written by program,written by program
5/9/16 13:39,Male,38,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 13:41,Male,21,written by program,written by Wright,written by Wright,written by Wright,written by program,written by program,written by Wright,written by Wright,written by Wright,written by program
5/9/16 13:59,Female,19,written by Wright,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 14:09,Male,22,written by program,written by Wright,written by Wright,written by program,written by program,written by Wright,written by Wright,written by program,written by program,written by program
5/9/16 14:13,Male,21,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 14:13,Female,21,written by program,written by program,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 14:28,Male,22,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 16:04,Female,21,written by Wright,written by program,written by program,written by Wright,written by program,written by program,written by Wright,written by program,written by program,written by Wright
5/9/16 16:09,Female,18,written by program,written by Wright,written by Wright,written by Wright,written by program,written by Wright,written by program,written by program,written by program,written by program
5/9/16 16:30,Male,33,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 17:07,Male,18,written by program,written by Wright,written by program,written by Wright,written by program,written by program,written by Wright,written by program,written by Wright,written by program
5/9/16 17:38,Female,22,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by Wright
5/9/16 18:08,Female,13,written by Wright,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by Wright
5/9/16 19:07,Male,18,written by program,written by Wright,written by Wright,written by program,written by program,written by Wright,written by Wright,written by program,written by Wright,written by program
5/9/16 19:08,Male,21,written by program,written by Wright,written by Wright,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by Wright
5/9/16 19:28,Female,23,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by program,written by program
5/9/16 20:05,Male,22,written by Wright,written by Wright,written by Wright,written by Wright,written by program,written by Wright,written by program,written by program,written by Wright,written by program
5/9/16 20:17,Female,19,written by program,written by Wright,written by Wright,written by program,written by program,written by program,written by Wright,written by program,written by Wright,written by program
